epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.10501,1.07438,3.27133,1.08421,0.0157,0.75357,0.39815,0.3176,0.71272,3.47302,0.83159,0.000407986,0.000407986,0.000407986
2,8.87803,1.09566,1.94175,1.0854,0.73138,0.57626,0.65525,0.46837,0.84886,2.76843,0.89542,0.000808325,0.000808325,0.000808325
3,12.4842,1.13243,1.7328,1.10859,0.63486,0.72511,0.70805,0.51776,0.84138,4.9026,0.91308,0.00119216,0.00119216,0.00119216
4,15.9604,1.08314,1.58442,1.10762,0.84366,0.66528,0.73689,0.54671,0.8587,4.35648,0.86896,0.00117575,0.00117575,0.00117575
5,19.505,1.05279,1.52894,1.08022,0.55193,0.57074,0.66001,0.50497,0.82009,23.1008,0.87738,0.001151,0.001151,0.001151
6,23.3287,1.03927,1.46501,1.10203,0.5205,0.69931,0.63944,0.48889,0.85342,23.1323,0.90368,0.00112625,0.00112625,0.00112625
7,29.0052,1.01766,1.39169,1.11955,0.64367,0.74618,0.69853,0.52923,0.77056,5.60736,0.8623,0.0011015,0.0011015,0.0011015
8,34.5614,0.99809,1.39048,1.08581,0.62897,0.88018,0.75992,0.55273,0.82904,4.20051,0.87766,0.00107675,0.00107675,0.00107675
9,40.4214,0.98614,1.28785,1.03906,0.73495,0.76737,0.77884,0.5648,0.7936,8.61482,0.86299,0.001052,0.001052,0.001052
10,45.8845,1.03924,1.23389,1.08866,0.74493,0.75467,0.7942,0.59517,0.78853,4.29145,0.8572,0.00102725,0.00102725,0.00102725
11,51.0384,0.92314,1.19628,1.05163,0.6482,0.80179,0.7476,0.56771,0.74631,4.05425,0.85559,0.0010025,0.0010025,0.0010025
12,55.1175,0.95913,1.15289,1.06112,0.66094,0.8182,0.71302,0.55769,0.71231,9.77622,0.84308,0.00097775,0.00097775,0.00097775
13,58.6162,0.95507,1.11428,1.03451,0.69595,0.70151,0.70097,0.54524,0.75318,14.4012,0.8637,0.000953,0.000953,0.000953
14,62.0893,0.89898,1.06734,1.02804,0.699,0.7261,0.73169,0.56471,0.71807,15.8781,0.85462,0.00092825,0.00092825,0.00092825
15,65.6817,0.93315,1.05236,1.04494,0.76909,0.76193,0.79052,0.58979,0.75107,7.04009,0.84941,0.0009035,0.0009035,0.0009035
16,69.3177,0.96236,1.0755,1.07042,0.82864,0.79328,0.82945,0.64608,0.69668,5.68725,0.82681,0.00087875,0.00087875,0.00087875
17,72.9428,0.89759,0.99784,1.02911,0.78666,0.81768,0.81627,0.63276,0.72604,7.52696,0.84133,0.000854,0.000854,0.000854
18,76.5789,0.86917,0.97563,1.02008,0.77881,0.82462,0.83843,0.62116,0.7747,6.32471,0.85376,0.00082925,0.00082925,0.00082925
19,80.3178,0.87853,0.94036,0.9892,0.79252,0.79163,0.8407,0.62389,0.76,6.44809,0.84876,0.0008045,0.0008045,0.0008045
20,84.6713,0.83802,0.87396,1.00051,0.89078,0.78979,0.86318,0.64555,0.75327,4.61235,0.85302,0.00077975,0.00077975,0.00077975
21,88.4218,0.87144,0.89195,1.01358,0.79523,0.88221,0.88121,0.67574,0.71109,4.50519,0.82864,0.000755,0.000755,0.000755
22,92.0475,0.83973,0.92359,1.03541,0.82739,0.84827,0.86654,0.66509,0.72459,5.02468,0.83699,0.00073025,0.00073025,0.00073025
23,95.7863,0.85617,0.89239,1.01791,0.74994,0.81771,0.84199,0.65704,0.731,7.02442,0.84266,0.0007055,0.0007055,0.0007055
24,99.3157,0.84823,0.85328,1.00686,0.75893,0.84615,0.82889,0.65952,0.69197,4.94876,0.82491,0.00068075,0.00068075,0.00068075
25,102.743,0.82271,0.8528,1.00556,0.75102,0.8155,0.8132,0.65992,0.68706,9.22123,0.8194,0.000656,0.000656,0.000656
26,106.385,0.82156,0.84902,1.01412,0.77544,0.77117,0.81578,0.64764,0.70558,10.4482,0.82905,0.00063125,0.00063125,0.00063125
27,109.974,0.80543,0.85166,1.00171,0.79051,0.86964,0.84543,0.66399,0.7144,6.42129,0.82713,0.0006065,0.0006065,0.0006065
28,113.666,0.83198,0.79406,1.00465,0.81512,0.83309,0.85964,0.67462,0.71021,5.84219,0.82947,0.00058175,0.00058175,0.00058175
29,117.324,0.78227,0.77359,0.98676,0.82375,0.7983,0.84742,0.65352,0.72893,8.44514,0.83679,0.000557,0.000557,0.000557
30,120.911,0.7885,0.80989,0.99001,0.79378,0.81289,0.8465,0.67443,0.69011,7.52485,0.82771,0.00053225,0.00053225,0.00053225
31,124.562,0.77468,0.75925,0.98713,0.8485,0.81217,0.86562,0.67965,0.69936,3.87046,0.82715,0.0005075,0.0005075,0.0005075
32,128.329,0.80506,0.78958,0.98937,0.88923,0.83369,0.91078,0.70463,0.71725,2.67771,0.83417,0.00048275,0.00048275,0.00048275
33,131.961,0.75676,0.73966,0.96621,0.8353,0.88503,0.89902,0.70776,0.73295,3.51123,0.84654,0.000458,0.000458,0.000458
34,135.57,0.7683,0.74243,0.97226,0.82629,0.88563,0.88902,0.70034,0.70666,4.79245,0.8315,0.00043325,0.00043325,0.00043325
35,138.925,0.75084,0.7368,0.96831,0.88223,0.82446,0.88729,0.71066,0.71268,4.73337,0.83474,0.0004085,0.0004085,0.0004085
36,142.492,0.75252,0.71298,0.95478,0.8428,0.80561,0.87369,0.69486,0.70547,5.48857,0.82257,0.00038375,0.00038375,0.00038375
37,147.805,0.71317,0.71908,0.9554,0.78665,0.87176,0.85736,0.67712,0.70157,6.77023,0.81656,0.000359,0.000359,0.000359
38,151.418,0.72815,0.70527,0.96184,0.81861,0.91475,0.89236,0.69458,0.70275,4.74141,0.81984,0.00033425,0.00033425,0.00033425
39,155.859,0.72993,0.68219,0.97325,0.88128,0.81922,0.91581,0.7022,0.67883,3.3335,0.80794,0.0003095,0.0003095,0.0003095
40,160.875,0.76195,0.72325,0.99349,0.85591,0.85824,0.90299,0.70021,0.67076,2.97566,0.80541,0.00028475,0.00028475,0.00028475
41,165.888,0.60456,0.63476,0.89742,0.86364,0.86564,0.89696,0.69695,0.66922,3.78134,0.81028,0.00026,0.00026,0.00026
42,171.455,0.59914,0.62846,0.91467,0.82912,0.92624,0.90525,0.71291,0.67836,2.71815,0.81122,0.00023525,0.00023525,0.00023525
43,175.096,0.56762,0.58751,0.87856,0.87766,0.86116,0.91306,0.72476,0.6606,2.94502,0.80324,0.0002105,0.0002105,0.0002105
44,178.306,0.5696,0.60772,0.91152,0.86124,0.89228,0.90732,0.72268,0.66018,2.75864,0.80177,0.00018575,0.00018575,0.00018575
45,181.527,0.56168,0.56702,0.87187,0.88038,0.92526,0.91689,0.72473,0.67024,2.46714,0.80304,0.000161,0.000161,0.000161
46,184.954,0.56102,0.5872,0.87144,0.87694,0.92599,0.91141,0.71843,0.67033,2.27709,0.80398,0.00013625,0.00013625,0.00013625
47,188.39,0.56235,0.5754,0.88393,0.85248,0.91846,0.90383,0.71608,0.66201,2.81389,0.80254,0.0001115,0.0001115,0.0001115
48,191.595,0.54761,0.64531,0.8616,0.84351,0.90915,0.89855,0.72017,0.65404,3.20556,0.80312,8.675e-05,8.675e-05,8.675e-05
49,194.801,0.54232,0.55228,0.87286,0.84372,0.91866,0.90354,0.72658,0.65189,2.88268,0.80418,6.2e-05,6.2e-05,6.2e-05
50,197.984,0.54516,0.568,0.86326,0.87719,0.881,0.90622,0.72721,0.65099,2.91923,0.80246,3.725e-05,3.725e-05,3.725e-05
